"질문","답변"
"개강일이 언제야?","2025-1학기 개강일은 2025년 3월 4일이야."
"2025-1학기 개강은 언제 시작해?","2025-1학기 개강은 2025년 3월 4일에 시작해."
"수강신청 정정은 언제부터야?","2025-1학기 수강신청 정정 및 취소는 2025년 3월 4일부터 3월 10일까지야."
"수강신청 정정 기간이 어떻게 돼?","2025-1학기 수강신청 정정 및 취소는 2025년 3월 4일부터 3월 10일까지야."
"수강신청 취소는 언제까지 가능해?","2025-1학기 수강신청 정정 및 취소는 2025년 3월 10일까지 가능해."
"수강신청 정정은 며칠 동안 할 수 있어?","2025-1학기 수강신청 정정 및 취소는 2025년 3월 4일부터 3월 10일까지 총 7일 동안 할 수 있어."
"2025-1학기 수강신청 취소는 언제 시작해?","2025-1학기 수강신청 정정 및 취소는 2025년 3월 4일부터 시작해."
"수강신청 정정은 언제 끝나?","2025-1학기 수강신청 정정 및 취소는 2025년 3월 10일에 끝나."
"1학기 수강포기는 언제야?","2025-1학기 수강포기는 2025년 3월 18일부터 3월 20일까지야."
"수강포기 신청은 언제부터 가능해?","2025-1학기 수강포기는 2025년 3월 18일부터 가능해."
"수강포기 기간이 어떻게 돼?","2025-1학기 수강포기는 2025년 3월 18일부터 3월 20일까지야."
"수강포기는 며칠 동안 할 수 있어?","2025-1학기 수강포기는 2025년 3월 18일부터 3월 20일까지 총 3일 동안 할 수 있어."
"2025-1학기 수강포기는 언제 끝나?","2025-1학기 수강포기는 2025년 3월 20일에 끝나."
"중간강의평가는 언제 시작해?","2025-1학기 중간강의평가는 2025년 4월 7일부터 시작해."
"1학기 중간강의평가 기간이 언제야?","2025-1학기 중간강의평가는 2025년 4월 7일부터 4월 30일까지야."
"중간강의평가는 언제까지 진행돼?","2025-1학기 중간강의평가는 2025년 4월 30일까지 진행돼."
"중간강의평가는 며칠 동안이야?","2025-1학기 중간강의평가는 2025년 4월 7일부터 4월 30일까지 총 24일 동안이야."
"2025-1학기 중간고사는 언제야?","2025-1학기 중간고사는 2025년 4월 22일부터 4월 28일까지야."
"중간고사 기간이 어떻게 되나요?","2025-1학기 중간고사는 2025년 4월 22일부터 4월 28일까지야."
"중간고사는 언제 시작해?","2025-1학기 중간고사는 2025년 4월 22일부터 시작해."
"1학기 중간고사는 언제 끝나?","2025-1학기 중간고사는 2025년 4월 28일에 끝나."
"중간고사는 며칠 동안 진행돼?","2025-1학기 중간고사는 2025년 4월 22일부터 4월 28일까지 총 7일 동안 진행돼."
"기말강의평가는 언제부터야?","2025-1학기 기말강의평가는 2025년 6월 2일부터야."
"2025-1학기 기말강의평가 기간이 언제지?","2025-1학기 기말강의평가는 2025년 6월 2일부터 7월 5일까지야."
"기말강의평가는 언제까지야?","2025-1학기 기말강의평가는 2025년 7월 5일까지야."
"기말강의평가는 며칠 동안 할 수 있어?","2025-1학기 기말강의평가는 2025년 6월 2일부터 7월 5일까지 총 34일 동안 할 수 있어."
"성적입력은 언제부터 시작해?","2025-1학기 성적입력은 2025년 6월 9일부터 시작해."
"1학기 성적입력 기간이 어떻게 돼?","2025-1학기 성적입력은 2025년 6월 9일부터 6월 29일까지야."
"성적입력은 언제 끝나?","2025-1학기 성적입력은 2025년 6월 29일에 끝나."
"2025-1학기 성적입력은 며칠이야?","2025-1학기 성적입력은 2025년 6월 9일부터 6월 29일까지 총 21일이야."
"기말고사는 언제야?","2025-1학기 기말고사는 2025년 6월 10일부터 6월 16일까지야."
"2025-1학기 기말고사 기간이 언제야?","2025-1학기 기말고사는 2025년 6월 10일부터 6월 16일까지야."
"기말고사는 언제 시작해?","2025-1학기 기말고사는 2025년 6월 10일부터 시작해."
"기말고사는 언제 끝나?","2025-1학기 기말고사는 2025년 6월 16일에 끝나."
"1학기 기말고사는 며칠 동안이야?","2025-1학기 기말고사는 2025년 6월 10일부터 6월 16일까지 총 7일 동안이야."
"자율보강 주간은 언제부터야?","2025-1학기 자율보강(기말고사)주간은 2025년 6월 17일부터야."
"기말고사 후 자율보강은 언제까지야?","2025-1학기 자율보강(기말고사)주간은 2025년 6월 23일까지야."
"자율보강 기간이 어떻게 되나요?","2025-1학기 자율보강(기말고사)주간은 2025년 6월 17일부터 6월 23일까지야."
"2025-1학기 자율보강은 며칠 동안이야?","2025-1학기 자율보강(기말고사)주간은 2025년 6월 17일부터 6월 23일까지 총 7일 동안이야."
"하계방학은 언제 시작해?","2025-하계방학은 2025년 6월 24일부터 시작해."
"2025년 하계방학은 언제야?","2025-하계방학은 2025년 6월 24일부터야."
"하계 계절수업은 언제부터야?","2025-하계 계절수업은 2025년 6월 24일부터야."
"2025-하계 계절수업 기간이 언제야?","2025-하계 계절수업은 2025년 6월 24일부터 7월 9일까지야."
"하계 계절수업은 언제 끝나?","2025-하계 계절수업은 2025년 7월 9일에 끝나."
"하계 계절수업은 며칠 동안 진행돼?","2025-하계 계절수업은 2025년 6월 24일부터 7월 9일까지 총 16일 동안 진행돼."
"1학기 이의신청은 언제부터야?","2025-1학기 이의신청은 2025년 7월 1일부터야."
"이의신청 기간이 어떻게 돼?","2025-1학기 이의신청은 2025년 7월 1일부터 7월 3일까지야."
"2025-1학기 이의신청은 언제까지야?","2025-1학기 이의신청은 2025년 7월 3일까지야."
"이의신청은 며칠 동안 할 수 있어?","2025-1학기 이의신청은 2025년 7월 1일부터 7월 3일까지 총 3일 동안 할 수 있어."
"성적정정은 언제 시작해?","2025-1학기 성적정정은 2025년 7월 1일부터 시작해."
"1학기 성적정정 기간이 언제야?","2025-1학기 성적정정은 2025년 7월 1일부터 7월 4일까지야."
"성적정정은 언제까지 가능해?","2025-1학기 성적정정은 2025년 7월 4일까지 가능해."
"2025-1학기 성적정정은 며칠이야?","2025-1학기 성적정정은 2025년 7월 1일부터 7월 4일까지 총 4일이야."
"성적확인은 언제부터야?","2025-1학기 성적확인은 2025년 7월 1일부터야."
"2025-1학기 성적확인 기간이 언제야?","2025-1학기 성적확인은 2025년 7월 1일부터 7월 5일까지야."
"성적확인은 언제까지 할 수 있어?","2025-1학기 성적확인은 2025년 7월 5일까지 할 수 있어."
"1학기 성적확인은 며칠 동안이야?","2025-1학기 성적확인은 2025년 7월 1일부터 7월 5일까지 총 5일 동안이야."
"하계 계절수업 성적입력은 언제부터야?","2025-하계 계절수업 성적입력은 2025년 7월 9일부터야."
"하계 계절수업 성적입력 기간이 언제야?","2025-하계 계절수업 성적입력 기간은 2025년 7월 9일부터 7월 12일까지야."
"2025-하계 계절수업 성적입력은 언제 끝나?","2025-하계 계절수업 성적입력은 2025년 7월 12일에 끝나."
"하계 계절수업 성적입력은 며칠 동안 해?","2025-하계 계절수업 성적입력은 2025년 7월 9일부터 7월 12일까지 총 4일 동안 해."
"1학기 성적확정은 언제야?","2025-1학기 성적확정은 2025년 7월 10일에 있어."
"2025-1학기 성적은 언제 확정돼?","2025-1학기 성적확정은 2025년 7월 10일에 있어."
"2학기 대상 학적 변동은 언제부터야?","2025-2학기 대상 학적 변동 기간은 2025년 7월 14일부터야."
"학적 변동 기간이 어떻게 돼?","2025-2학기 대상 학적 변동 기간은 2025년 7월 14일부터 7월 18일까지야."
"2025-2학기 학적 변동은 언제 끝나?","2025-2학기 대상 학적 변동은 2025년 7월 18일에 끝나."
"학적 변동은 며칠 동안 할 수 있어?","2025-2학기 대상 학적 변동은 2025년 7월 14일부터 7월 18일까지 총 5일 동안 할 수 있어."
"하계 계절수업 성적 확인은 언제부터야?","2025-하계 계절수업 성적 확인, 이의신청 및 정정 기간은 2025년 7월 15일부터야."
"하계 계절수업 이의신청은 언제까지야?","2025-하계 계절수업 성적 확인, 이의신청 및 정정은 2025년 7월 16일까지야."
"하계 계절수업 성적 정정 기간이 언제야?","2025-하계 계절수업 성적 확인, 이의신청 및 정정은 2025년 7월 15일부터 7월 16일까지야."
"하계 계절수업 성적 확인은 며칠 동안이야?","2025-하계 계절수업 성적 확인, 이의신청 및 정정은 2025년 7월 15일부터 7월 16일까지 총 2일 동안이야."
"하계 계절수업 성적 확정은 언제야?","2025-하계 계절수업 성적 확정은 2025년 7월 17일에 있어."
"2025-하계 계절수업 성적은 언제 확정돼?","2025-하계 계절수업 성적 확정은 2025년 7월 17일에 있어."
"2학기 수강신청 1차는 언제부터야?","2025-2학기 수강신청(재학생 1차)은 2025년 7월 23일부터야."
"재학생 1차 수강신청 기간이 언제야?","2025-2학기 수강신청(재학생 1차)은 2025년 7월 23일부터 7월 25일까지야."
"2025-2학기 수강신청 1차는 언제 끝나?","2025-2학기 수강신청(재학생 1차)은 2025년 7월 25일에 끝나."
"2학기 재학생 1차 수강신청은 며칠이야?","2025-2학기 수강신청(재학생 1차)은 2025년 7월 23일부터 7월 25일까지 총 3일이야."
"2학기 교차수강신청은 언제야?","2025-2학기 교차수강신청(서울↔천안)은 2025년 8월 5일부터 8월 6일까지야."
"교차수강신청은 언제 시작해?","2025-2학기 교차수강신청(서울↔천안)은 2025년 8월 5일부터 시작해."
"2025-2학기 교차수강신청은 어디서 해?","2025-2학기 교차수강신청은 2025년 8월 5일부터 8월 6일까지 서울과 천안에서 해."
"교차수강신청 기간이 어떻게 돼?","2025-2학기 교차수강신청(서울↔천안)은 2025년 8월 5일부터 8월 6일까지야."
"2학기 교차수강신청은 언제까지야?","2025-2학기 교차수강신청(서울↔천안)은 2025년 8월 6일까지야."
"2학기 재학생 2차 수강신청은 언제야?","2025-2학기 수강신청(재학생 2차)은 2025년 8월 21일에 있어."
"재학생 2차 수강신청은 언제 해?","2025-2학기 수강신청(재학생 2차)은 2025년 8월 21일에 해."
"2025-2학기 재학생 2차는 며칠 동안이야?","2025-2학기 수강신청(재학생 2차)은 2025년 8월 21일 하루 동안이야."
"후기 학위수여식은 언제야?","2024학년도 후기 학위수여식은 2025년 8월 22일에 있어."
"2024학년도 후기 학위수여식은 어디서 해?","2024학년도 후기 학위수여식은 2025년 8월 22일에 서울과 천안에서 해."
"2학기 등록은 언제부터야?","2025-2학기 등록은 2025년 8월 22일부터야."
"2025-2학기 등록 기간이 언제야?","2025-2학기 등록은 2025년 8월 22일부터 8월 26일까지야."
"2학기 등록은 언제 끝나?","2025-2학기 등록은 2025년 8월 26일에 끝나."
"2025-2학기 등록은 며칠 동안 할 수 있어?","2025-2학기 등록은 2025년 8월 22일부터 8월 26일까지 총 5일 동안 할 수 있어."
"2학기 개강은 언제야?","2025-2학기 개강은 2025년 9월 1일에 있어."
"2025-2학기 개강일이 언제지?","2025-2학기 개강은 2025년 9월 1일이야."
"2학기 수강신청 정정은 언제부터야?","2025-2학기 수강신청 정정 및 취소는 2025년 9월 1일부터야."
"2025-2학기 수강신청 정정 기간이 언제야?","2025-2학기 수강신청 정정 및 취소는 2025년 9월 1일부터 9월 7일까지야."
"2학기 수강신청 취소는 언제까지야?","2025-2학기 수강신청 정정 및 취소는 2025년 9월 7일까지야."
"2학기 수강신청 정정은 며칠 동안이야?","2025-2학기 수강신청 정정 및 취소는 2025년 9월 1일부터 9월 7일까지 총 7일 동안이야."
"2학기 수강포기는 언제야?","2025-2학기 수강포기는 2025년 9월 18일부터 9월 19일까지야."
"2025-2학기 수강포기 신청은 언제부터야?","2025-2학기 수강포기는 2025년 9월 18일부터야."
"2학기 수강포기 기간이 어떻게 돼?","2025-2학기 수강포기는 2025년 9월 18일부터 9월 19일까지야."
"수강포기는 언제 끝나?","2025-2학기 수강포기는 2025년 9월 19일에 끝나."
"2025-2학기 수강포기는 며칠 동안 할 수 있어?","2025-2학기 수강포기는 2025년 9월 18일부터 9월 19일까지 총 2일 동안 할 수 있어."
"2학기 중간강의평가는 언제부터야?","2025-2학기 중간강의평가는 2025년 10월 10일부터야."
"2025-2학기 중간강의평가 기간이 언제야?","2025-2학기 중간강의평가는 2025년 10월 10일부터 10월 31일까지야."
"2학기 중간강의평가는 언제까지야?","2025-2학기 중간강의평가는 2025년 10월 31일까지야."
"2025-2학기 중간강의평가는 며칠 동안 진행돼?","2025-2학기 중간강의평가는 2025년 10월 10일부터 10월 31일까지 총 22일 동안 진행돼."
"2학기 중간고사는 언제야?","2025-2학기 중간고사는 2025년 10월 20일부터 10월 26일까지야."
"2025-2학기 중간고사 기간이 언제야?","2025-2학기 중간고사는 2025년 10월 20일부터 10월 26일까지야."
"2학기 중간고사는 언제 시작해?","2025-2학기 중간고사는 2025년 10월 20일부터 시작해."
"중간고사는 언제 끝나?","2025-2학기 중간고사는 2025년 10월 26일에 끝나."
"2025-2학기 중간고사는 며칠 동안이야?","2025-2학기 중간고사는 2025년 10월 20일부터 10월 26일까지 총 7일 동안이야."
"2학기 기말강의평가는 언제부터야?","2025-2학기 기말강의평가는 2025년 12월 1일부터야."
"2025-2학기 기말강의평가 기간이 언제야?","2025-2학기 기말강의평가는 2025년 12월 1일부터 2026년 1월 3일까지야."
"기말강의평가는 언제까지야?","2025-2학기 기말강의평가는 2026년 1월 3일까지야."
"2학기 기말강의평가는 며칠 동안 할 수 있어?","2025-2학기 기말강의평가는 2025년 12월 1일부터 2026년 1월 3일까지 총 34일 동안 할 수 있어."
"2학기 기말고사는 언제야?","2025-2학기 기말고사는 2025년 12월 8일부터 12월 14일까지야."
"2025-2학기 기말고사 기간이 언제지?","2025-2학기 기말고사는 2025년 12월 8일부터 12월 14일까지야."
"기말고사는 언제 시작해?","2025-2학기 기말고사는 2025년 12월 8일부터 시작해."
"2025-2학기 기말고사는 언제 끝나?","2025-2학기 기말고사는 2025년 12월 14일에 끝나."
"2학기 기말고사는 며칠 동안이야?","2025-2학기 기말고사는 2025년 12월 8일부터 12월 14일까지 총 7일 동안이야."
"2학기 성적입력은 언제부터야?","2025-2학기 성적입력은 2025년 12월 9일부터야."
"2025-2학기 성적입력 기간이 언제야?","2025-2학기 성적입력은 2025년 12월 9일부터 12월 28일까지야."
"성적입력은 언제까지야?","2025-2학기 성적입력은 2025년 12월 28일까지야."
"2학기 성적입력은 며칠 동안 진행돼?","2025-2학기 성적입력은 2025년 12월 9일부터 12월 28일까지 총 20일 동안 진행돼."
"자율보강 주간은 언제야?","2025-2학기 자율보강(기말고사)주간은 2025년 12월 15일부터 12월 21일까지야."
"2025-2학기 자율보강은 언제 시작해?","2025-2학기 자율보강(기말고사)주간은 2025년 12월 15일부터 시작해."
"기말고사 후 자율보강은 언제까지야?","2025-2학기 자율보강(기말고사)주간은 2025년 12월 21일까지야."
"2학기 자율보강 기간이 어떻게 돼?","2025-2학기 자율보강(기말고사)주간은 2025년 12월 15일부터 12월 21일까지야."
"자율보강은 며칠 동안이야?","2025-2학기 자율보강(기말고사)주간은 2025년 12월 15일부터 12월 21일까지 총 7일 동안이야."
"동계방학은 언제부터야?","2025-동계방학은 2025년 12월 22일부터야."
"2025년 동계방학 시작은 언제야?","2025-동계방학은 2025년 12월 22일부터 시작해."
"동계 계절수업은 언제야?","2025-동계 계절수업은 2025년 12월 22일부터 2026년 1월 8일까지야."
"2025-동계 계절수업 기간이 언제야?","2025-동계 계절수업은 2025년 12월 22일부터 2026년 1월 8일까지야."
"동계 계절수업은 언제 시작해?","2025-동계 계절수업은 2025년 12월 22일부터 시작해."
"동계 계절수업은 언제 끝나?","2025-동계 계절수업은 2026년 1월 8일에 끝나."
"2025-동계 계절수업은 며칠 동안이야?","2025-동계 계절수업은 2025년 12월 22일부터 2026년 1월 8일까지 총 18일 동안이야."
"2학기 이의신청은 언제부터야?","2025-2학기 이의신청은 2025년 12월 30일부터야."
"2025-2학기 이의신청 기간이 언제야?","2025-2학기 이의신청은 2025년 12월 30일부터 2026년 1월 1일까지야."
"2학기 이의신청은 언제까지야?","2025-2학기 이의신청은 2026년 1월 1일까지야."
"이의신청은 며칠 동안 할 수 있어?","2025-2학기 이의신청은 2025년 12월 30일부터 2026년 1월 1일까지 총 3일 동안 할 수 있어."
"2학기 성적정정은 언제부터야?","2025-2학기 성적정정은 2025년 12월 30일부터야."
"2025-2학기 성적정정 기간이 언제야?","2025-2학기 성적정정은 2025년 12월 30일부터 2026년 1월 2일까지야."
"성적정정은 언제까지야?","2025-2학기 성적정정은 2026년 1월 2일까지야."
"2학기 성적정정은 며칠 동안이야?","2025-2학기 성적정정은 2025년 12월 30일부터 2026년 1월 2일까지 총 4일 동안이야."
"2학기 성적확인은 언제부터야?","2025-2학기 성적확인은 2025년 12월 30일부터야."
"2025-2학기 성적확인 기간이 언제야?","2025-2학기 성적확인은 2025년 12월 30일부터 2026년 1월 3일까지야."
"성적확인은 언제까지 할 수 있어?","2025-2학기 성적확인은 2026년 1월 3일까지 할 수 있어."
"2학기 성적확인은 며칠 동안이야?","2025-2학기 성적확인은 2025년 12월 30일부터 2026년 1월 3일까지 총 5일 동안이야."
"2학기 성적확정은 언제야?","2025-2학기 성적확정은 2026년 1월 8일에 있어."
"2025-2학기 성적은 언제 확정돼?","2025-2학기 성적확정은 2026년 1월 8일에 있어."
"2025학년도 전기 학위수여식은 언제야?","2025학년도 전기 학위수여식은 2026년 2월 24일에 있어."
"전기 학위수여식은 어디서 해?","2025학년도 전기 학위수여식은 2026년 2월 24일에 서울과 천안에서 해."
"2026학년도 천안 입학식은 언제야?","2026학년도 천안 입학식은 2026년 2월 25일이야."
"천안 입학식은 언제 어디서 해?","2026학년도 천안 입학식은 2026년 2월 25일에 천안에서 해."
"2026학년도 서울 입학식은 언제야?","2026학년도 서울 입학식은 2026년 2월 26일이야."
"서울 입학식은 언제 어디서 해?","2026학년도 서울 입학식은 2026년 2월 26일에 서울에서 해."
"2026학년도 입학식 서울 날짜가 언제야?","2026학년도 서울 입학식은 2026년 2월 26일이야."
"2025-1학기 장바구니 수강신청 1차는 언제까지야?","2025-1학기 장바구니 수강신청 1차는 2025년 2월 3일까지야."
"장바구니 수강신청 1차는 어디서 해?","2025-1학기 장바구니 수강신청 1차는 2025년 1월 31일부터 2월 3일까지 진행돼."
"2025-1학기 장바구니 1차는 언제 끝나?","2025-1학기 장바구니 수강신청 1차는 2025년 2월 3일에 끝나."
"수강신청 1차는 언제부터 언제까지야?","2025-1학기 수강신청(재학생 1차)은 2025년 2월 5일부터 2월 7일까지야."
"2025-1학기 재학생 1차 수강신청은 언제야?","2025-1학기 수강신청(재학생 1차)은 2025년 2월 5일부터 2월 7일까지야."
"재학생 1차 수강신청은 며칠 동안 해?","2025-1학기 수강신청(재학생 1차)은 2025년 2월 5일부터 2월 7일까지 총 3일 동안 해."
"교차수강신청은 언제 끝나?","2025-1학기 교차수강신청(서울↔천안)은 2025년 2월 12일에 끝나."
"2025-1학기 교차수강신청은 며칠 동안이야?","2025-1학기 교차수강신청(서울↔천안)은 2025년 2월 11일부터 2월 12일까지 총 2일 동안이야."
"장바구니 수강신청 2차는 언제 시작해?","2025-1학기 장바구니 수강신청 2차는 2025년 2월 14일에 시작해."
"2025-1학기 장바구니 2차는 언제 끝나?","2025-1학기 장바구니 수강신청 2차는 2025년 2월 14일에 끝나."
"신·편입생 수강신청은 언제야?","2025-1학기 수강신청(신·편입생)은 2025년 2월 18일부터 2월 20일까지야."
"2025-1학기 신입생 수강신청은 언제 시작해?","2025-1학기 수강신청(신·편입생)은 2025년 2월 18일부터 시작해."
"신·편입생 수강신청은 언제까지야?","2025-1학기 수강신청(신·편입생)은 2025년 2월 20일까지야."
"1학기 등록은 언제야?","2025-1학기 등록은 2025년 2월 19일부터 2월 24일까지야."
"2025-1학기 등록은 언제 끝나?","2025-1학기 등록은 2025년 2월 24일에 끝나."
"등록은 어디서 해야 해?","2025-1학기 등록은 2025년 2월 19일부터 2월 24일까지 진행돼."
"재학생 2차 수강신청은 언제 시작해?","2025-1학기 수강신청(재학생 2차)은 2025년 2월 20일에 시작해."
"2025-1학기 재학생 2차는 언제 끝나?","2025-1학기 수강신청(재학생 2차)은 2025년 2월 20일에 끝나."
"2024학년도 전기 학위수여식은 언제야?","2024학년도 전기 학위수여식은 2025년 2월 25일에 있어."
"전기 학위수여식은 며칠 동안이야?","2024학년도 전기 학위수여식은 2025년 2월 25일 하루 동안이야."
"천안 입학식은 언제 시작해?","2025학년도 입학식(천안)은 2025년 2월 26일에 시작해."
"2025학년도 천안 입학식은 며칠 동안이야?","2025학년도 입학식(천안)은 2025년 2월 26일 하루 동안이야."
"서울 입학식은 언제야?","2025학년도 입학식(서울)은 2025년 2월 27일이야."
"2025학년도 서울 입학식은 언제 끝나?","2025학년도 입학식(서울)은 2025년 2월 27일에 끝나."
"폐강 공고는 언제야?","2025-1학기 폐강 공고는 2025년 2월 28일에 있어."
"2025-1학기 폐강 공고는 언제 나와?","2025-1학기 폐강 공고는 2025년 2월 28일에 나와."
"개강은 언제부터야?","2025-1학기 개강은 2025년 3월 4일부터야."
"2025-1학기 개강은 며칠 동안이야?","2025-1학기 개강은 2025년 3월 4일 하루 동안이야."
"수강신청 정정은 언제야?","2025-1학기 수강신청 정정 및 취소는 2025년 3월 4일부터 3월 10일까지야."
"2025-1학기 수강신청 정정은 언제 시작해?","2025-1학기 수강신청 정정 및 취소는 2025년 3월 4일부터 시작해."
"수강신청 취소는 언제부터야?","2025-1학기 수강신청 정정 및 취소는 2025년 3월 4일부터야."
"2025-1학기 수강신청 정정은 언제까지야?","2025-1학기 수강신청 정정 및 취소는 2025년 3월 10일까지야."
"수강포기는 언제 시작해?","2025-1학기 수강포기는 2025년 3월 18일부터 시작해."
"2025-1학기 수강포기는 언제까지야?","2025-1학기 수강포기는 2025년 3월 20일까지야."
"중간강의평가는 언제야?","2025-1학기 중간강의평가는 2025년 4월 7일부터 4월 30일까지야."
"2025-1학기 중간강의평가는 언제 끝나?","2025-1학기 중간강의평가는 2025년 4월 30일에 끝나."
"중간고사는 언제부터야?","2025-1학기 중간고사는 2025년 4월 22일부터야."
"2025-1학기 중간고사는 언제까지야?","2025-1학기 중간고사는 2025년 4월 28일까지야."
"기말강의평가는 언제야?","2025-1학기 기말강의평가는 2025년 6월 2일부터 7월 5일까지야."
"2025-1학기 기말강의평가는 언제 시작해?","2025-1학기 기말강의평가는 2025년 6월 2일부터 시작해."
"기말강의평가는 언제 끝나?","2025-1학기 기말강의평가는 2025년 7월 5일에 끝나."
"성적입력은 언제야?","2025-1학기 성적입력은 2025년 6월 9일부터 6월 29일까지야."
"2025-1학기 성적입력은 언제 시작해?","2025-1학기 성적입력은 2025년 6월 9일부터 시작해."
"기말고사는 언제부터야?","2025-1학기 기말고사는 2025년 6월 10일부터야."
"2025-1학기 기말고사는 언제까지야?","2025-1학기 기말고사는 2025년 6월 16일까지야."
"자율보강 주간은 언제야?","2025-1학기 자율보강(기말고사)주간은 2025년 6월 17일부터 6월 23일까지야."
"2025-1학기 자율보강은 언제 끝나?","2025-1학기 자율보강(기말고사)주간은 2025년 6월 23일에 끝나."
